architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
densenet121, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\densenet121_log1.csv, -1.437551702527811, 1.876583853916635, 1.532299598770082, -0.04129533517907483, -2.41738760012099, -0.9248967099099317, -0.19570320722796108, 1.3853554801169734, 1.7716381141891733, -0.48807349354485036, -0.41947641716199463, 0.5252071178909619, -0.29479335278410607, -0.8381226353364799, -0.2719742564381255, -0.044161517992345294, 56, 28, 14, 25.0, 10.71, 14.29, 15.152829438571429, 1.9406876626909133, 0.4881, 0.3813, 
densenet161, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\densenet161_log1.csv, -3.112801347323273, -0.501422348486686, 0.6316059113948597, 5.386224596445249, 0.6316059113948618, 0.631605911394861, 1.2078786647292026, -3.304143728271866, -0.14022912947873803, -1.074845472143103, -0.4273666736572089, -0.08663642857905203, 0.6799085993846123, 0.4400025518113613, -0.26431295727508114, -0.31842416322357564, 51, 24, 16, 31.37, 15.69, 15.69, 27.609739321764707, 2.83076841569071, 0.5888, 0.31, 
densenet169, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\densenet169_log1.csv, -8.125920411626709, -1.5118580947352191, 9.414402831313645, 1.3837751587620686, 1.6758263599204704, 0.7634004858892272, -4.636492565094414, 0.8165346457139906, 1.0135691639069246, 1.0722153693473127, -0.8464038598667472, -0.5367731019956139, -0.2027792941769242, 0.3599018571460517, -1.05345763546037, 0.5729474440628279, 49, 25, 11, 22.45, 10.2, 12.24, 20.657822165714286, 2.30317519167512, 0.4443, 0.4142, 
densenet201, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\densenet201_log.csv, 0.006481860550486218, 1.9764324166324718, 2.3238265522755897, 1.4570493760052052, -4.7205098847600295, 3.503717150169294, -4.82492239005777, 3.270479431393025, -1.8001104984537688, -1.096099458160631, 0.14857570020039562, 0.6386207665918003, -0.8957502887421257, 0.49955210463607247, -0.7734314374946103, 0.9160977359042857, 46, 21, 14, 30.43, 13.04, 17.39, 25.93365782758464, 2.5832063399177834, 0.4975, 0.3621, 
inceptionv1(googlenet), C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\inceptionv1(googlenet)_log1.csv, 0.5549432150467173, 1.136282378550461, -1.0469533623941447, 0.11615594319454636, 0.40572641738380266, 0.2371559403723879, -0.15396257073860498, -1.10398812786098, -0.7726512031731554, 1.1322929568733595, 0.9268379199616446, -0.15986368473548437, -0.25106207989034157, -1.0774763524911335, -0.24225391804935603, 0.625324900683389, 44, 23, 9, 20.45, 15.91, 4.55, 13.744212551590909, 1.6498290638989666, 0.4204, 0.4064, 
inceptionv3, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\inceptionv3_log.csv, 1.135373446188992, 1.799735137266554, -4.0094598314242, 1.8073515845826669, 0.13120670421391478, 0.22017755889027493, -0.6027778287384195, -0.24117734635742794, -0.7585842497746057, 0.5751321439561048, 0.7662973026252444, 0.3906650277165177, -0.34706417668994916, -0.15072594081286095, 3.437725490243874, -3.0645026933489716, 31, 19, 3, 9.68, 6.45, 3.23, 13.311621981282387, 1.2847357224839262, 0.3175, 0.2991, 
mobilenetv2, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\mobilenetv2_log.csv, 0.7655735782142289, -0.02618129234389069, -0.6856398291040132, -1.3670356975901123, -0.3645342510736207, -2.782074859795457, 2.8195578784959334, 3.028082358772124, 0.1924039263093896, 0.5641557937300795, 1.0717998135530742, 1.3057529084254176, -1.9216312214875895, -3.0268060486926123, 0.23362391220154266, -1.302612107534372, 33, 16, 3, 9.09, 9.09, 0.0, 6.458763353752367, 1.0413209968048651, 0.4012, 0.3833, 
resnet101, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\resnet101_log.csv, 1.5573167250117108, -0.2867199256104329, -0.1387108936595086, -0.8905440832814864, 0.30640962958595025, -0.46813427521939155, 0.19071194675682646, -0.1290398221908716, 0.4424771917437464, -0.19746680294549473, 0.16485399973929252, -0.4680637593847309, 0.44250312202892483, -0.5087794520748721, -0.17201996846662163, 1.7092637882479689, 42, 25, 13, 30.95, 19.05, 11.9, 21.185029614539374, 1.9558674375739646, 0.5477, 0.3109, 
resnet152, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\resnet152_log1.csv, 1.0973139029102117, 0.34629896705366814, -0.44945471480267346, 0.2963166986004902, -0.9861617784401914, -0.4788796685598097, 0.4931235627494295, 0.0696799835755462, 0.0732493010948212, 0.9747370611308565, -0.08175922560764765, -1.4189193353459657, 0.9506452169648996, -0.5656473150506087, -0.03681909444725543, -0.24242409448715346, 56, 29, 14, 25.0, 10.71, 14.29, 29.356506454107144, 4.214224541505868, 0.5179, 0.3812, 
resnet18, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round3_results\run1\resnet18_log.csv, 5.221434650283108, -4.943167546382384, 6.193597773727207, 1.1011832592000355, -0.5158666049307512, -1.7237768407170333, -3.281853848566885, -0.43611902319155527, -1.6708052556894613, -0.7056644841732647, 0.30956133277552267, 1.1103214144397289, 0.4488453432782043, -0.7686767213394976, -0.19270714423271185, 0.16322262250542963, 52, 24, 12, 23.08, 7.69, 15.38, 5.412730340774242, 0.7807988687436227, 0.4744, 0.3907, 
