architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, b16, b17, b18, b19, b20, b21, b22, b23, b24, b25, b26, b27, b28, b29, b30, b31, b32, b33, b34, b35, b36, b37, b38, b39, b40, b41, b42, b43, b44, b45, b46, b47, b48, b49, b50, b51, b52, b53, b54, b55, b56, b57, b58, b59, b60, b61, b62, b63, b64, b65, b66, b67, b68, b69, b70, b71, b72, b73, b74, b75, b76, b77, b78, b79, b80, b81, b82, b83, b84, b85, b86, b87, b88, b89, b90, b91, b92, b93, b94, b95, b96, b97, b98, b99, b100, b101, b102, b103, b104, b105, b106, b107, b108, b109, b110, b111, b112, b113, b114, b115, b116, b117, b118, b119, b120, b121, b122, b123, b124, b125, b126, b127, b128, b129, b130, b131, b132, b133, b134, b135, b136, b137, b138, b139, b140, b141, b142, b143, b144, b145, b146, b147, b148, b149, b150, b151, b152, b153, b154, b155, b156, b157, b158, b159, b160, b161, b162, b163, b164, b165, b166, b167, b168, b169, b170, b171, b172, b173, b174, b175, b176, b177, b178, b179, b180, b181, b182, b183, b184, b185, b186, b187, b188, b189, b190, b191, b192, b193, b194, b195, b196, b197, b198, b199, b200, b201, b202, b203, b204, b205, b206, b207, b208, b209, b210, b211, b212, b213, b214, b215, b216, b217, b218, b219, b220, b221, b222, b223, b224, b225, b226, b227, b228, b229, b230, b231, b232, b233, b234, b235, b236, b237, b238, b239, b240, b241, b242, b243, b244, b245, b246, b247, b248, b249, b250, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
FCLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run14\scratch_r6-nS250-nD100-reset\FCLinearModel_log.csv, 0.7750072787598583, -2.7549546014117428, -4.687854624514502, 0.4036814210403721, 0.2793178025693013, -0.1962273378774455, 5.590547268687852, -3.693026757323083, -11.669053278616747, 7.731479608516921, -10.398238769590384, 1.5981176513413713, -0.386089690484781, -6.435702801715208, 1.7047521171202697, -8.310632502599772, -16.610154766821946, 3.3703606308795373, 18.702271422782445, 1.5273497640596556, 2.209348808258587, 0.9787001278131047, 5.769580284875219, -5.690164874699711, 0.38009915782581716, -3.1656809360200477, -10.658785420289936, -12.593755814746917, 3.148239257866937, 7.016436073236891, -9.004319843368242, 7.924742864882659, -9.530922144449638, 2.989260723913311, -9.412614683249533, -1.217847866492022, 6.734876445182089, 10.863884351453526, 1.1575272585209897, 1.5705313101911493, -2.0539523884316857, -5.8212814759801725, -4.689309646383242, 16.265995566879077, 15.244796046445778, -1.9659572167294077, 18.232630683392678, -14.452502880523413, -0.7304062288228872, -0.09361680401963723, 5.499676432977871, 3.505680564987246, 9.901973199658263, 5.559396460414884, 0.8322691846366663, -6.703178475942181, -0.6259997005337684, -1.8222772760818755, -1.5720789265226807, -11.497026191455397, -8.611451893084205, -7.402477818205196, 6.028525480562431, -11.997336079487708, 9.905545381102884, -16.902450939828334, 11.52385821706429, -0.8414999103562883, 7.038680164968486, 0.2208156647059465, -2.181380289242428, 17.80808707062906, -2.0793485254042214, -9.817026154183436, 10.208888981504238, 8.888927462242076, 11.01885460354494, -5.859740599781706, -1.3952477656299056, 3.1695383931800523, -4.39833654050808, 5.233353499201389, 11.10033484428705, 17.170838966230317, -0.3300568238181536, 5.719324747479951, -9.8068359127887, -8.494118202226902, -4.7281517735883, 3.2774391141151447, 5.361741733565952, -5.863756543487998, -9.840443875623512, -3.879774877703373, -4.556952416548868, -16.14059751013995, 9.870225034899068, 0.8939723541762683, 4.339510308381335, -3.418776266570177, 2.234149498016178, -4.096992997003748, -0.34388342162364394, -6.360049592387905, -1.549383467079844, -10.03752411001608, -7.442825887085797, 6.397582761922839, -1.8645682944194424, -6.612791923972292, -0.8975247894497338, -4.033696154771517, 8.101171296291291, 9.211467671726348, 5.881401467831063, -15.29630017659372, -11.99235223666588, 0.9911951883030252, 1.1292085026057501, 4.595579265509354, -1.1625389777032522, 3.9057776540108042, -8.624539307364458, -6.205603870041241, 8.146245798964156, -0.46282959058346607, -0.9027250981331771, 3.00839142580175, -2.1173309084905028, 7.5310839157171205, 14.025822065899403, -1.3793287241604006, -5.636458695330779, -14.185767315175283, -0.29607000841582964, -8.961283055638637, 0.3256084132391074, 13.077582754056085, -11.464504242664244, 3.1048887922804873, -8.852219237736172, -12.883721142038326, -5.182624384446374, 9.870693404354485, 5.74127782599413, 0.7832142805518525, 6.874337654059409, -5.895822612421753, -3.0300229522778612, 0.6158096544936045, 16.921705537616585, 10.482110903682988, -3.151772751912841, -11.205713425337244, -6.571806979905006, -1.2862588282145806, -7.832303763006412, -12.482039176338796, 0.6821290101763153, 3.803198050482595, -1.3240090983456207, -2.0888246098637233, -9.840352518910253, 7.046812811165885, 16.04445056546327, 18.66987301737047, 8.76998670491648, 8.417072539646519, 4.772363324200013, 12.434336501649378, 0.7405944088880236, 4.208038091306955, 12.843763001458736, 6.0962891313221395, -11.384755432579261, -11.153588378729987, 15.530766965052866, 6.938464021167987, -3.227219142244746, 9.877141263027424, 2.5431494142532665, -8.581265533998375, -5.762521130933087, -2.441327748724392, 3.8085008039484407, -4.988764144994778, 7.293086207954367, 5.134078407974434, 3.4077429970957205, 21.353673762624112, -9.861792765884841, -8.542698839300813, -14.869104087925509, 3.170495672041601, -13.543817164728091, -15.403154198036084, 0.65493482810212, -4.964184434304916, -7.4492630026766165, 0.8971549160399895, -23.680286217697702, -15.805176258740445, 2.2252788278124016, -12.860538673958823, -11.82953214517786, -8.014097035030773, 3.382999712372146, -3.607389117659517, 0.6320066089047863, 8.059765370977232, 5.609693120546216, -4.096929410328794, 0.2865387270228922, 10.570790957579016, -6.8232961080154055, 10.65700426724434, 4.2355196581047405, 7.5459648510543005, 12.621945769080623, 15.165703658745823, -6.0352129703955875, 4.6252353299029645, -3.5572197047294347, -2.5003484329751924, 0.4136851509001551, -5.980056308820879, -0.7670741806234378, 2.5999677945067274, 12.640100686583718, 6.209825005234524, -3.4273471680835708, 14.883886636703846, 1.2714354515879727, 15.95797578908788, -15.559053605758262, -8.508752371476348, -1.131657041666759, 29.54190243383727, -26.785921192023526, -6.636997213333805, 4.460226359470519, -15.890438622285043, 0.8017650939099772, 5.681866742513575, -13.694717681041146, 5.624061492578631, 17.011717933595676, -3.802624906651107, 18.76053029225094, -1.7360244888457372, -0.09596834678343075, 160, 80, 0, 0.0, 0.0, 0.0, 104.90847599477566, 23.15531041879342, 0.0, 0.0, 
GruLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run14\scratch_r6-nS250-nD100-reset\GruLinearModel_log.csv, -0.7734670858985311, -8.770731638769924, -1.9461038865745701, -9.703539809726347, -13.024164465963288, -6.379860946153153, -24.15879664785336, 25.58319001358263, -2.1993648936441303, 2.0186371935755325, 8.603961991696783, 2.608755875860762, 1.2655575252632223, 15.198968527534019, -12.922362776407942, 8.740847703163077, 12.399397450389237, 2.533858744187615, -15.46338407084875, -8.641775175388316, 9.620162149763345, 15.965641611419358, 3.489222688242412, -0.6256742654686525, 5.335780485344401, 7.0902863822782525, -1.9095476105261195, 25.67763474328293, 3.9611703080048395, -4.425943402522269, -20.972401293071098, -2.2883878792670407, -7.859772775380624, 1.4994086541941791, 16.586136729066954, -16.183428994671907, 6.902487626919823, 21.865615684744, -5.625231620198379, -3.4685191743885486, 6.391673898271966, 17.38507672309467, 14.887255912604944, -7.465735819174423, -0.8089888269252392, -4.005927433335803, -4.530932024182348, 4.585591418373212, 1.8748669411852967, 5.910262931269661, -6.507082020975973, -6.1386968803963, 0.1195416509849489, -8.78157244772727, 36.631842879637354, 10.467477441116984, 16.799811379640563, -11.107027912065579, -20.990180287900547, 12.239629308339875, 12.368808136058467, -19.592397988909546, -27.820703019323226, -32.98876718523322, -12.969834150702482, -11.644385630478702, -7.798386476154956, 12.52223425227802, -1.7382285965628348, 5.222108095817683, 24.176575766878777, -11.602201722412723, -10.873563087779083, -21.669293644051702, -7.762927298296421, -23.414912735123526, -11.669401102449617, 19.51415838741172, -2.836488697267006, -9.145861396564921, 9.122131710882849, 3.3193844444013108, -14.544288919489382, -10.021628487668686, -1.01009479167376, 14.999449737086957, 26.048785594605945, 11.366214246377059, -14.9824494347705, -8.617464472020755, -4.312588972191101, -12.994844801167547, -3.2451258921937276, 12.317078926718107, -5.015417663212667, 19.4101478613737, 1.9249036895493177, 8.50850972597626, -16.009573267463594, 8.637521222123762, -8.43701570812532, 20.078139322359924, 1.6908544629344187, 12.037396345829034, -12.792687779793908, -11.793298099923717, -16.354808812691715, -4.257644517452807, 18.75735936755962, -7.926622647543704, 4.510826762831274, 5.353340914097968, -9.137446532820992, -3.7654951232633214, -16.698362880938753, 7.765071602615222, 13.567736585649468, 22.72072172220908, 4.849171915745352, 4.366039404986872, 13.615479687918517, -18.12517448764441, 12.131664739201334, -6.918684391787632, 8.61050671085013, -8.32885024664167, 7.20864287589565, -20.784093058666805, 7.765484579190737, 23.057459814109635, -13.98908703346866, -2.485797310273711, -0.3197932200331742, 21.36627595505547, 4.543077366967116, -2.9980838069957123, -18.074289086300737, -11.656532493813451, 16.8818305544278, -8.174888153820723, 9.411833033924367, 4.065138722490772, 31.177500045212774, -11.827493690461601, -15.103654578609666, 4.916313843180827, -21.772857186107082, -14.793306040746721, 21.714584124058476, 2.788269173562032, 12.782500256847953, -4.417062014258289, -9.077143955929307, -31.464571539044908, -0.27798572926474163, -8.573607869973808, -6.864939327398735, -10.700241699473374, 14.142871208124527, -2.2595280271852625, 10.702341138450656, -8.750470264250161, -18.13243229890831, -9.066240258160454, 5.776256266760515, 27.979582795468474, -5.713051610651235, -9.352378979868089, 13.976582199753786, -4.039916512019648, 7.727454531951105, 13.074433360868035, 18.049231087174714, -17.926113006067748, 7.539154448234375, 4.6946994757899745, -17.8992646836631, 22.633140680555613, 7.798629602202933, 7.759814140617792, 29.282320315073747, 9.773272393640042, -4.0130480892943075, 7.588378923790357, -12.12011767206989, -3.676999210390732, -13.970979576151592, 0.2861196648010087, 0.3184661153717998, 2.382709324696334, -3.5537680696429295, -24.736054474388208, 0.6883177364670328, 13.369870137651384, -12.811153635778703, -3.0105820568901946, 12.7033784012026, -6.217039633967345, 7.200909714913823, -10.928197550432593, 11.231890494322409, -8.948208770859885, -14.198636183311555, -1.7791247193894917, -0.36671309002554486, -7.389075803039637, -5.956459617741509, -18.397325034098536, -4.250783409261356, -11.230776418396282, -14.203048623016018, -9.707997190672641, -4.201562018642459, 19.980872093601274, 25.883911665775386, 5.389013170242984, -5.535649545238063, 5.176000878566391, 7.357150242024588, 3.2565663792329502, -6.039055139633582, 3.689243987740114, -19.547486832941985, 0.6064557804766983, 4.396094523232359, 12.87340427744935, 9.68986652748712, 2.8467280004179614, 6.089272533308767, 1.4092493476550967, -4.9705476492857805, -4.015311608468615, -10.237803700624788, 4.249363943006092, -0.1321866622745027, -19.454906395863176, -6.40807969395767, 21.016902612019948, -15.569573879894957, 6.823992452800436, -10.109071696691814, -0.08526141938637455, -9.831817726064564, 5.983542241745373, 11.112201402942938, -6.165904393263289, 10.719597609637415, 6.890103466216509, 8.052619023718284, 9.723662110245053, 6.635481466695019, 160, 80, 0, 0.0, 0.0, 0.0, 209.92749172278565, 65.08646736375086, 0.0, 0.0, 
LstmLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run14\scratch_r6-nS250-nD100-reset\LstmLinearModel_log.csv, 1.4310558137478893, 5.694331804040397, 6.143085003283049, 5.139551783629795, 6.038985991481216, 3.894994281376346, 5.438364174634632, -1.2370376631486284, 1.7892408945251077, -0.7669684719686176, -5.672430810346874, 1.456451353100041, 2.6224246719992284, 4.915590663596563, -4.782318827563692, 2.9010540797018396, 4.5063197043243015, 11.308556352973481, -8.297154912885645, -6.345127492226942, 6.652813133150813, 2.941175563529372, 4.093482925072352, -7.909968277922712, 4.004483894101962, -7.343079391443575, 4.565378058768014, -9.175145720615976, -7.850961268293478, -2.9496772094623713, -0.7702690237110696, 3.46867188462187, -0.7270000729584789, -7.643194049429387, 4.808480900909121, -4.60011416759556, 3.1552745624590517, 18.861548169597786, -6.340370319895547, -8.909210507102317, -7.124978950005951, 0.03673657021851229, -4.842077540849219, -1.0063148071985035, -6.8375259678300075, -12.073188834028862, 5.448807485695178, -6.581909036327031, 11.375751238071363, 10.22805078206339, -16.428214114003598, 13.463816394136131, -14.724134645874074, -2.218248248788962, -17.90150666784719, -31.523707799353918, -0.31055377872965906, 14.513333159828932, -7.750258576136305, 4.31424585674751, -6.509868873604068, -14.719980109094625, 13.731465435118873, 5.203928130092746, -4.117326031980134, -20.320410953844988, 21.056633506591698, -13.365272404808044, 12.377965716045864, 13.77711028121424, 13.285741440692748, 0.3544022707317135, -37.40749724873634, 12.095098028543273, -1.3923768798054674, 22.579010144367505, 1.9674427529481942, 29.853439369817654, 12.135493814725502, -39.440447041792375, -19.177080120823337, -16.591906003489346, 20.26929953159253, -13.442271992583311, 9.791261997081717, 5.432955299453008, -8.60754590802797, 6.642641170366558, 10.016537930845793, -5.688881382347337, 6.69172211786505, 9.194013106923656, -1.3870087114074172, 37.02817423817971, -1.7145032820017385, 23.314225970018764, 5.246020680645639, 19.54226617700746, -23.946834146991655, -34.19320372351769, -10.412597505368902, 6.168739748900192, 8.127004143989941, -4.532228408612859, 32.10246971896054, -5.747954174962566, 6.218277898473948, 1.8716679036324488, -14.189855238242348, 34.91719104994101, -1.5149936321876907, -26.355520099137106, -16.22395537260286, -23.08961693274384, -12.740597627087855, -16.303963615893114, -12.59305190851487, -5.737478160466142, -9.339015723564957, 6.096763487668945, -1.0015836370953646, -4.215730893516831, 26.165793308248738, 13.79985920668426, 4.629717529783324, 32.30656332529425, -27.97507360665429, 2.829479900638683, -3.922896348725332, 2.3166776931526174, 2.9481148474171697, 4.053977249062945, -13.170562980190445, -11.430307422338638, 0.8847927943963567, 11.874040656746498, 23.662851243889754, 14.169184866952486, 42.23638147114549, -8.572627883133414, 15.746098340443588, 13.094296698988055, -0.7036675536038419, -22.30579878717277, 8.542493254559641, -17.18099930771319, 18.880443043770057, -0.7622818290422333, -17.02299719360852, 9.74049558278719, 3.8427736317465695, 4.522595768151441, -30.289458854537482, 5.955906409308151, 8.68641269201206, 34.49446604335663, -6.945344159219451, 25.626519145637136, -13.828394673827944, -6.350952132146313, 1.9389284524478854, 14.980479429440669, 6.257056084812473, -42.8819336915749, -15.738754685455655, 32.88426765971335, -22.262587712519473, -26.385127205212907, 0.3639480014440044, -15.991883166989211, -8.829670968607461, 8.75831367163383, 12.388999966206104, -11.962048168289432, -7.561564415266708, -28.62812253106042, 28.365479108790655, 5.334244414674876, 7.639752685387581, 0.33591348907512375, 0.6907131112525051, 8.676433139313865, 23.644808813832327, 12.419927204413224, 12.229280465328308, 1.3400050044378051, 13.652464572279177, -5.127586707544011, 0.2767897465011312, 0.7874659148130022, -11.750556949691125, -27.402481755667882, -12.04586466793032, 2.1516588201475546, -42.123176022971805, 1.1938377262187048, -25.690505875502282, 10.968709156807455, 2.292685781687976, 11.300093835461325, 12.254007815072931, 8.523634083814557, -6.90058595781553, 0.22818467717149588, 3.3167522881469305, 1.553299846768072, 15.42010001344465, -16.323682119973853, -21.85870145227072, -13.005798557225155, 8.776607351621072, -9.651064441650314, -9.435280649138557, 18.63163300702094, -4.545042448113115, -0.05262337942135442, 47.43657371276674, -14.907528783928637, 7.304822443991595, -2.549592157922573, 34.36757746371524, 9.081064476339268, 9.686699425216498, 14.544310845899444, -22.226078404797253, -11.645329898981977, -7.232901424191688, -16.272768334599586, 0.7836685877496631, -5.281607913111685, -25.18157460360851, 6.106456804129706, -14.388050369234273, -8.848183079468642, -23.844774928804878, 0.9238523568515513, 21.845410949055797, -8.346414391235017, 23.690060092367307, -13.939382121067542, -12.38130574712357, 7.286832812826932, 11.773013187450927, 7.011929406488511, -0.32679281519598824, -14.564653195328741, -10.017586930460642, 28.497490880234878, 20.319346555161044, -12.432475768754728, -16.005009775423254, 160, 80, 0, 0.0, 0.0, 0.0, 231.05068943014777, 79.66670487256087, 0.0, 0.0, 
