architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
BERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\nisaba\run3\scratch_r7-nS15-nD100-reset\BERTLinear_log.csv, -948.312703038649, -324.85651616307274, 336.1052356956779, -132.12205802396355, 211.48462156080492, 270.4284213730444, -173.30409256468576, 529.0338367924521, -165.78642467995303, 347.3196070020104, -69.01282484609044, -303.2381941569897, 218.74221778759485, -66.11462829345504, 269.86210616810007, 0.4265276244383585, 48, 24, 10, 20.83, 8.33, 12.5, 518.1157562094546, 14.624728657710643, 0.472, 0.3882, 
DistilBERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\nisaba\run3\scratch_r7-nS15-nD100-reset\DistilBERTLinear_log.csv, -660.3988790617486, 87.51725003958313, -37.53097798078401, -248.27382341177548, -29.36289214227028, -99.56111410842779, 3.2193074183852683, 220.97679388299915, -167.7709915083891, 166.86914527400728, 336.74897670778756, 71.81069979383506, 36.86287934422238, 284.708553063007, 39.651172361917084, -4.825999851271934, 48, 24, 9, 18.75, 10.42, 8.33, 258.7937245715196, 6.776377963165535, 0.5281, 0.4693, 
MobileBERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\nisaba\run3\scratch_r7-nS15-nD100-reset\MobileBERTLinear_log.csv, 157.37711221763223, -118.18847650896033, 23.660917376440985, -144.70588046211122, 51.806822408207836, -157.01194566842724, 74.38841417885827, 155.5928690617623, -25.928092854810853, -141.08007198062174, 312.32411512281385, 264.22920253849264, -273.96739078265, -119.31279046269484, -179.33750370336116, 120.65021370542787, 48, 24, 11, 22.92, 16.67, 6.25, 334.12790371200146, 15.10775242970905, 0.4806, 0.5257, 
RoBERTaLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\nisaba\run3\scratch_r7-nS15-nD100-reset\RoBERTaLinear_log.csv, 9.634978037288505, 184.40649595984024, -14.717548381493792, 321.919667488509, 22.425667973462524, -499.74861793686784, 178.01906028611697, 81.31936077436168, -28.50926502760829, 337.63696416865645, -137.00197414257138, 7.583744794723865, -470.8379805433605, -121.40730730653019, 127.14382703314729, 2.6407798455897145, 48, 24, 12, 25.0, 16.67, 8.33, 517.4737583481183, 11.074681181814654, 0.4861, 0.3642, 
