architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
BERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\desktop\run2\BERTLinear_log.csv, -49.64275471697955, -210.80935477481574, 138.6222619089209, 121.94424638560521, -0.34711558829289346, 0.7886328349121908, 48, 24, 20, 41.67, 20.83, 20.83, 176.48927243338645, 4.481471668150041, 0.6514, 0.2682, 
DistilBERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\desktop\run2\DistilBERTLinear_log.csv, 74.11258378579119, 18.98238243097199, -109.37781514920363, -17.538121952364634, 36.52380000465381, -2.2642106519463163, 48, 24, 24, 50.0, 14.58, 35.42, 91.05161134817656, 4.949981275948417, 0.675, 0.1678, 
MobileBERTLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\desktop\run2\MobileBERTLinear_log.csv, -8.849678810024727, -101.10305212955862, 60.51637265627282, -55.23648958347205, 79.88498851845527, 25.398214032769967, 48, 24, 19, 39.58, 27.08, 12.5, 153.930935290807, 8.405278968589272, 0.644, 0.2319, 
RoBERTaLinear, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round7_results\desktop\run2\RoBERTaLinear_log.csv, 28.874838117480834, 14.935157179840632, 150.02149727121733, -147.61328923988506, -46.22934327764714, 0.4743742671836469, 48, 24, 16, 33.33, 16.67, 16.67, 176.3602713638344, 4.1864013271921365, 0.668, 0.2237, 
