architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
densenet121, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\densenet121_log.csv, 0.835989630038257, -0.43377973921086566, 0.16452862074685243, 0.823486188882701, 0.04792829952302032, -0.7221355516776724, -0.6033780744334435, 0.21810416029681634, 0.21139401619378312, 0.19440661007333757, 0.3795109004318329, -1.0738174616326397, 0.4600030736920376, 0.09454756975566136, -1.4236604593654831, 0.48359924670760795, 52, 26, 12, 23.08, 11.54, 11.54, 16.33960984303401, 0.556943954741724, 0.5327, 0.4177, 
densenet161, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\densenet161_log.csv, 0.5264647274548766, -1.1472945256240625, 2.1769009073065586, -0.31646137835362226, -0.474857067825417, -1.6452460442595715, 1.1277383444435984, 0.5886058361899473, -0.2738898013003799, -0.10348394513818848, 0.2668562775699384, -0.7430496933710045, 0.2764728590074763, 0.986839499662428, -1.288142152137295, 0.3555503235464134, 61, 29, 18, 29.51, 11.48, 18.03, 30.405262911906007, 1.0177831356541576, 0.5063, 0.3717, 
densenet169, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\densenet169_log.csv, 1.5078133783024175, -0.6405048471762633, -0.6684544841011576, -0.3184254680684002, 0.037530067037280984, 0.39856101484723283, -0.42125730875390643, 0.4586401720877087, 0.32493448720040924, -0.20890190480353243, 0.30499384873920155, -0.7258523588868733, 0.9452485246628269, 0.4890715763141586, -0.720420576270303, -0.44908493798523597, 60, 31, 15, 25.0, 8.33, 16.67, 21.966488111019135, 0.5784989413005833, 0.5447, 0.4419, 
densenet201, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\densenet201_log.csv, 1.2342388245091005, -0.07343374596866535, -0.6337745221489703, 0.22363534692261555, -0.0876813907510402, 0.17115636486074537, -0.1849152743032489, -0.7242635576941954, 0.21246374856438405, 0.21838040768833467, 0.12896942168393952, -0.4087378174405273, 0.8425992102853971, 0.0677834021423685, -1.3038312479079612, 0.9094504093577291, 66, 37, 19, 28.79, 16.67, 12.12, 27.46321976184845, 0.8934365552522224, 0.5835, 0.3602, 
inceptionv1(googlenet), C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\inceptionv1(googlenet)_log.csv, 1.11400314350858, -0.5115143565494977, -0.9670886004565593, 0.8372642033421571, -0.13545762377117962, 0.18233798468918874, 0.31224135227270133, 0.06433450377767055, 0.004114555584470131, -0.026342362768554173, -0.359120964388005, -0.24253525359855105, 0.8678917222746048, -0.5158684014356557, -0.5144000612475178, 0.07264629742161201, 50, 29, 19, 38.0, 22.0, 16.0, 14.229517645835877, 0.45806636928986855, 0.5927, 0.3533, 
inceptionv3, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\inceptionv3_log.csv, 1.8262881808035016, -0.24553009777526819, -0.8272373001194808, -0.8930819010507736, -0.5477984486559213, -1.1971072333242319, 0.5592031512774571, 1.715030708735741, 1.4081977035127997, -0.2799232053265468, -0.15816075449590847, 0.6003559944252744, -1.7708382111934162, -2.1643726276434787, 3.994061729509734, -0.5588545350022038, 43, 21, 4, 9.3, 4.65, 4.65, 17.880600042121355, 1.6256010587313352, 0.3477, 0.3181, 
mobilenetv2, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\mobilenetv2_log.csv, 0.498716116861078, -3.1237690436679117, -0.676781904425068, 1.7723821875547332, 1.4510146671075057, 0.5290221634252128, 0.7809100950414365, -3.0648528165844766, -3.468226581937818, 2.485045215085793, -0.6297081585254211, -1.0769889184722932, 1.5379070295246575, 4.637707318130114, -2.7026284255520134, 2.230169327713652, 51, 27, 21, 41.18, 19.61, 21.57, 6.552858198390288, 0.2211231839966636, 0.5882, 0.3378, 
resnet101, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\resnet101_log.csv, 1.2578079353208618, -0.50617835161184, -1.2024469397678066, 0.6020644864494841, 0.4711143670952804, 1.3964625419820922, -1.0565190813401564, -1.0427867862864848, 1.1694924566605658, 0.4777606927980702, -0.9424831486614269, -4.098360405041633, 0.27359373696669065, 2.3856844946409037, -0.24365201564377817, 0.582338747822982, 40, 22, 5, 12.5, 7.5, 5.0, 22.03792060017586, 0.7719446299707252, 0.3105, 0.3232, 
resnet152, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\resnet152_log.csv, 0.7510373644055629, 0.11457249383828168, -0.3046351781098318, -0.5049668158157906, 1.6967794113095866, -1.346925115728399, 0.8194951323831042, 0.3925227759848371, -2.25748724052904, -0.761290053486949, 0.1893420874790365, 0.5132924417114626, 0.020414444144783668, 1.4856240983956428, 0.39500539761290177, -2.3519036132126487, 41, 21, 7, 17.07, 4.88, 12.2, 31.17069376968756, 1.115163643333926, 0.3881, 0.3144, 
resnet18, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\resnet18_log.csv, 1.0987077958899643, 2.644806054734655, -0.44042163048798455, -1.590913154339321, -0.8878765703825835, -0.10937257740564049, 0.22823675730120102, -0.4008484465446872, -0.9787442671046642, 1.2736574831031853, 0.5182399014706993, -0.7713907517579104, 0.38083379209950546, -0.987199714590955, 0.32100831199365204, -0.08165850198293317, 50, 29, 9, 18.0, 8.0, 10.0, 5.7687074565887455, 0.26163501167553105, 0.4532, 0.3922, 
resnet34, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\resnet34_log.csv, 0.03459756383493984, 0.2910431271372033, 0.7969244919525715, 0.5253402217709032, -0.2895490586906534, -0.24747299760736602, -0.48035498576406166, -0.6666526836707731, 0.24351094998646242, 0.42422354148170577, -0.14864237852309897, 0.48931614434360904, -0.1581973015367319, -0.648889739190052, -0.08296531983097113, 0.25153150038408195, 64, 33, 24, 37.5, 18.75, 18.75, 9.29262001439929, 0.5853789388039379, 0.579, 0.3198, 
resnet50, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\resnet50_log.csv, -0.20240015369798436, 1.3422581082428657, -0.8234201816344308, 0.4933344632130076, 0.17885888357327934, 0.3800399636046127, -0.8282114130985967, 0.11322733113935385, -0.19613909215675807, -1.0478910675504371, 0.5038090870412787, -1.6533393512000334, -0.8471331217893155, 2.72455623441021, 0.08463054519798013, 0.4840159928467286, 44, 17, 9, 20.45, 11.36, 9.09, 13.148207122629339, 0.42499821328853904, 0.4886, 0.5438, 
shufflenet1_0, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\shufflenet1_0_log.csv, 0.5177425117834287, 0.37049799293600527, -0.3195082376252947, -0.8022411029998276, 0.08108288140548989, 0.38369071538483246, 0.37398235301543903, -0.48007589212819746, -0.8910131816815676, -0.1858759033566598, 2.980026143183859, 0.20231498744940177, -0.0972782296456854, -2.0325212555917287, -0.03587512928148782, -1.1342120149195132, 47, 17, 11, 23.4, 6.38, 17.02, 5.794207714973612, 0.14864005591774496, 0.5235, 0.444, 
shufflenet1_5, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\shufflenet1_5_log.csv, 0.4397451737907745, -0.49984430270339963, -0.5729720206601456, -0.5013791135482313, 1.8033802199920084, -1.0623323775466829, 0.4383550211618639, 1.0636048605994444, -1.2835135529155934, -0.36795724201032726, 1.259806746933942, -0.575592877177808, -2.661724992875764, 1.378724419855817, 3.509609907051194, -0.7894320819245395, 59, 27, 12, 20.34, 6.78, 13.56, 5.82542140605086, 0.25446845742177193, 0.4496, 0.4142, 
shufflenet2_0, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\shufflenet2_0_log.csv, 0.619303726757226, 0.39137631455983934, -0.3929079680992701, -0.12366302237785515, 1.2515916147888468, -1.3740241539002584, 0.14611954190084006, 1.0149717169009862, -1.0457772847685614, 1.3318176289053734, -3.1489522542793806, 0.6814619588435248, -2.0128625062846837, -0.23617441415876228, -3.6187582222007824, 6.039295215282446, 57, 28, 20, 35.09, 21.05, 14.04, 7.6265549032311695, 0.32196285508838, 0.5308, 0.3152, 
squeezenetv1_0, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round2_results\run26\squeezenetv1_0_log.csv, -0.3968640304904914, -0.5084484243614744, -0.07412242231158273, 0.019964593760866414, 1.0218073470819837, -0.484392578973759, 1.0747284258615777, 0.8616557093483282, 0.3857705529232076, -1.3536416236763678, 0.8868388999611709, -0.3168750101386658, -0.7177821636731824, 0.683043926475995, 0.6018533423839199, -1.175619180248851, 35, 17, 9, 25.71, 17.14, 8.57, 5.4062662533351356, 0.20832231300057774, 0.4372, 0.3442, 
