architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
densenet121, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round1_results\run43\densenet121_log.csv, -0.18293125848764008, 0.37203293780214386, -0.39045317869772483, -0.3927501855630139, 0.625150924669289, 0.5916312832559766, 0.09722432426059135, -0.45358930187550206, -0.10028629477110824, 0.21879474725024378, 0.29174388371886706, -0.18135029424125668, 0.3785036066562096, -0.21375984736531606, 0.2591326162261669, -0.49905660888651926, 286, 128, 99, 34.62, 15.38, 19.23, 30.67117357670844, 1.1171664020777865, 0.6371, 0.319, 
inceptionv3, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round1_results\run43\inceptionv3_log.csv, 0.14634903877307154, -1.1095483650281919, 0.8194839264475533, 0.4841708622479379, -0.03849579055697061, -0.3349010419380531, -0.2521593475456826, 0.29079174251585344, 0.3105558556598341, 0.5411222599435875, -0.24021061427288412, -0.0760214863211588, -0.303318792316188, 0.248788382102849, -0.06965908245525747, 0.6092940509024921, 319, 153, 114, 35.74, 16.61, 19.12, 29.777908254192916, 1.0208572263733913, 0.6192, 0.3359, 
resnet50, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round1_results\run43\resnet50_log.csv, 0.47541912821298526, 0.1519687241865648, -0.333524714766131, -0.5642123272296387, 0.3522214997539872, 0.4296700238255048, 0.7910356500817849, -0.18567669863393774, -0.21724710546741804, -0.2639815896171337, 0.336225329046065, -0.2659328532584786, 0.23057858181313973, -0.10148597787434976, -0.5391592968631094, -0.0338599338183934, 395, 251, 120, 30.38, 18.48, 11.9, 36.157199663451955, 1.3212136119500368, 0.5169, 0.4145, 
