architecture_name,csv_filepath,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, b16, b17, b18, b19, b20, b21, b22, b23, b24, b25, b26, b27, b28, b29, b30, b31, b32, b33, b34, b35, b36, b37, b38, b39, b40, b41, b42, b43, b44, b45, b46, b47, b48, b49, b50, b51, b52, b53, b54, b55, b56, b57, b58, b59, b60, b61, b62, b63, b64, b65, b66, b67, b68, b69, b70, b71, b72, b73, b74, b75, b76, b77, b78, b79, b80, b81, b82, b83, b84, b85, b86, b87, b88, b89, b90, b91, b92, b93, b94, b95, b96, b97, b98, b99, b100, b101, b102, b103, b104, b105, b106, b107, b108, b109, b110, b111, b112, b113, b114, b115, b116, b117, b118, b119, b120, b121, b122, b123, b124, b125, b126, b127, b128, b129, b130, b131, b132, b133, b134, b135, b136, b137, b138, b139, b140, b141, b142, b143, b144, b145, b146, b147, b148, b149, b150, b151, b152, b153, b154, b155, b156, b157, b158, b159, b160, b161, b162, b163, b164, b165, b166, b167, b168, b169, b170, b171, b172, b173, b174, b175, b176, b177, b178, b179, b180, b181, b182, b183, b184, b185, b186, b187, b188, b189, b190, b191, b192, b193, b194, b195, b196, b197, b198, b199, b200, b201, b202, b203, b204, b205, b206, b207, b208, b209, b210, b211, b212, b213, b214, b215, b216, b217, b218, b219, b220, b221, b222, b223, b224, b225, b226, b227, b228, b229, b230, b231, b232, b233, b234, b235, b236, b237, b238, b239, b240, b241, b242, b243, b244, b245, b246, b247, b248, b249, b250, num_models, poisoned_model_count, num_erroneous_models,total_error_percent [%], fp_error_percent,fn_error_percent,avg_exec_time,stdev_exec_time, avg_cross_entropy_loss, stdev_cross_entropy_loss 
FCLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run15\trainData_scratch_r6-nS250-nD100-reset\FCLinearModel_log.csv, 0.9927889286606195, 1.0456885638720652, 0.9005090646075766, 0.9164741110066341, 0.8366752666805679, 0.9436273029046731, 0.8445614094745246, 1.4794401012821718, 0.46982186326670483, 0.9893462454558998, 1.0019118233026438, 1.2276916916026366, 0.668166083818129, 0.946778963484767, 1.319127237528021, 1.145494440373579, 0.7317731110020548, 0.3894197460579692, 0.38112810880973164, 1.7454372423239009, 1.0742016816561488, 1.2846160786211291, 1.7187689778232214, -0.11367575409083347, 1.375805662500034, 0.8588181847623897, 1.1013016425293738, 0.29721712387090726, -0.07803140163546585, -0.29855941222719784, 0.9991986888636528, 1.3473331065897671, 0.9049712661411304, 1.1307541965569583, 0.5307562835579748, 0.025535306072524466, 0.21346375469142675, -0.16978003760633165, -1.1233172896606445, 1.3041268609760055, -0.24758486199136204, -0.20635087025090149, 0.5537142322377098, 1.953862626507282, 0.676126696507041, 0.9042183779868049, 1.1842283118921344, -0.02688736466836171, -0.5837698193746876, 0.8071678882728679, 0.1374357657256294, -1.3982127400632034, -0.26063710902202836, 0.20883975811676098, -1.9938592196366325, 1.2419521735154282, -1.5876905680113067, -0.8623526559918809, -0.4882095004774902, 0.9982467147011937, -0.18653350079008457, 0.5067694171260755, 1.4725541574510466, -1.1313538101812586, 1.4295792141042833, 0.2238369247518327, 0.4263805216350809, -1.042881893458226, 0.3362061464718345, 0.8601392619907778, 0.8383110207452111, -0.28995922197287816, -0.07770035355850646, -0.5356607731442066, 0.04997556584523405, 0.5151993039594597, 0.3964208551123143, -1.6494431161342806, 0.20797688698012193, 0.16411357391225778, 0.3739607561645811, 0.8847778036292088, 0.1880694981102256, -0.7910711354882203, 1.1752487944688066, -0.6334513338059501, 1.9928862297710879, 0.07136004317457056, 0.12050211035291092, 0.1457572769432765, -1.3443198678875299, 2.6749257721520854, -0.6028065728505595, -1.8123665087546268, 1.1467480613086973, -1.2228322647575707, -0.8166466973854046, 1.2590947049827887, -0.41822043891904087, -0.38826349306048324, -2.7309149570330433, -0.26780312880103024, 0.5631828682241803, -0.1834851530175723, -0.2582843331218343, -1.7298362013607564, 0.8187222440115764, -0.2433314483738016, -1.0076555227162065, -0.5967971672084511, 1.3062641803030877, -0.512141399116419, 0.2866221430812197, -0.515856067522364, 0.08623342617670371, -1.861063165117774, -2.4378688477811896, 2.2586743640350955, -0.20976812698040515, -0.19129327248170552, 0.18852106263450685, 0.9737728332579043, 4.709082738572347, 0.3023071524490065, -0.12709838076321212, 1.2568206762982963, -1.0149363499324178, -2.061409287361827, -1.1081704605265796, 0.5574088869578387, 1.8150627455305843, -1.8851498395921205, -0.24899777034215198, -0.9432954567441407, 0.6967226211987171, 1.3375081571311656, 1.0588232528619814, -2.3665149863258925, 0.7371972076584365, 2.035376394343983, 0.07771437278602772, -2.340895910847018, 1.9618357508113227, -0.8125735990490395, -2.7758307426165603, -2.8061466986535755, -0.46167660570139607, -1.0064616422554367, -0.6843320453164439, -0.28346671863089934, -0.9035576550108078, 0.42108034999649413, 2.080030872224428, -1.5327939777228843, -0.4020273652807501, 0.26001840828650635, -0.7488645314933022, -1.3685995240356053, 0.09837732440248692, -0.41757776670803937, 0.9823191097523598, 0.9359287690609492, 0.4776995054924984, -1.265348888202355, 0.18958206846846776, -1.2185438997602764, -2.535324835482879, -0.25005548948271344, -0.5921839584934075, -0.0400484478317229, -0.9353430969813002, 0.18897905838882817, -0.9054871947975787, 0.7744388653801141, -0.811953364351381, -0.687895702513796, -0.6891572935031073, -0.6879415688646271, -2.5646993058816365, -0.8723476013201346, -0.8202800811648754, 0.42640969208656915, 2.153691484975659, 1.0004070163527756, -1.195890348692175, 1.2398434315823432, 1.5003310153818843, -0.2049194266833263, 0.4021922459464904, -0.039902750262046316, 0.21066865127682616, -0.8432790941186308, 0.9452977843594629, -1.8816047063460173, 0.19269909171648864, 0.01729823069246017, 0.4409696322551962, 0.5921621886893249, -0.5893859833412329, 0.539581919520397, -1.545226572589869, 0.7835165013675445, -0.4195575347812188, 1.2464080463057687, -0.908981140817505, 0.7575192200114009, 0.2569514003388981, 0.8756358248541967, -0.6947838868547749, -0.9954300952064087, -1.6023523620202935, 1.842833057526891, -1.9630114266986975, 0.2186951700622788, 1.7153268973587148, 0.3848859423012703, -1.447708770477051, -1.908225617336258, -0.10541948837453152, 0.3598940702465754, -0.9598216714543987, 0.12275734118112358, 0.15780662551231617, -1.7936315354618542, 2.87287847294623, 0.09330934079827707, -0.7426611146274121, 0.382577226792958, 0.1554962209143106, -1.8871138647291885, -1.0656182182265037, -0.08752492824047953, -1.6402751473460517, -0.7089854750591501, -1.8344611937901685, 0.7388566142371324, -0.4409759194449617, 0.30164519502936227, -2.6098571130951225, 1.1168422847238346, -0.33179522911964543, -1.7982857390679754, -0.34070686938707706, -3.324339810290921, 0.42838628885429764, -1.1904339312062935, 1.0694547950427402, -0.7475306773477608, 0.2828511864327252, -0.9958369279492956, 0.6533476847471135, 16, 8, 0, 0.0, 0.0, 0.0, 102.20209659147076, 27.779738030772055, 0.0, 0.0, 
GruLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run15\trainData_scratch_r6-nS250-nD100-reset\GruLinearModel_log.csv, -0.09735747589449506, 0.03527633440540179, -0.1297345545575901, 0.10524943649772567, -0.09237439685410731, 0.14587231922149213, 0.16160966944297428, -0.1794046751483167, -0.25183272405094304, 0.14994023651372335, 0.1555889938254299, -0.17822301145425448, -0.15835413920822156, 0.4223444425460323, -0.2613251383925626, 0.010483420411886879, 1.2336634229567423, 0.2230710521287077, 0.34836925423168386, 0.36140673297400255, -0.05013632855386774, -0.21138733495871748, -0.050309106064131304, 0.5548001376504046, 0.3599129321024776, 0.165750433938578, -0.30189651003835505, 1.3777459694940304, 1.162657231728509, 0.9146397227096288, 0.8460971096606359, 0.2504914356277455, 0.10341131969660158, 0.9147483648411354, 0.4923552247006298, 0.13273018739029974, -0.41009374510692903, 0.6251183003901704, -0.03637875971609098, -0.2343897256924172, -0.20365096178499703, -0.8737029657908213, 0.35568445403089904, -0.07719461664805405, -0.7639447369331982, 0.19898853167995956, 1.3081167881124522, -0.9504675507363092, 0.18422940572541072, 1.17051540687057, -0.4985070381988209, 1.1662511620032199, -1.246640969049409, -0.9324503339469362, 0.15837319878748085, 1.3522704003380335, 1.043506030730567, -0.37651315994602386, 1.0473790668706444, 1.6437276908671297, 1.747611174168777, -1.3915939456502289, -0.4820634992200334, 2.7478790097490595, -2.240311321371614, -1.8472355336904178, -1.423637021615525, -0.20255624814341283, 0.565191657434243, 0.469097620344584, 0.3740776660013809, 0.07607638324914937, -1.9159730537734483, 2.002642714061107, 0.20787548560277425, 0.014836770975113267, 1.1199470047853113, 1.0533372314923675, -1.1431418529085176, 0.7106080587003387, 1.3313799198958234, 1.2660940381579902, -1.9741924282714207, 0.7748343964692965, 2.1612471376730467, 0.16641015969395812, 1.4314561476327659, 1.1016892683702242, 1.1579225964479871, -0.061219590400322876, 2.109140899896915, 0.3968274335908742, 1.156378559136411, 0.3906798895975049, 0.5166118974540527, 0.05419188387188556, 0.7399433539423049, -1.0067682318361404, -0.3391351499269392, -0.8444237733202482, 0.7351038314489238, 0.6068146617218648, 0.032762519337145024, 0.17305203075620101, 0.21700860418686585, -2.108582335026232, 0.4401864497193281, -1.9730589913192143, 0.6389628959091208, -1.8429046349557119, 0.08825446408897367, 0.3932959706717397, 0.9253424679776897, 2.0593255101323353, -0.3632745212773151, 0.24993315500905455, 1.640225489606626, 1.5630812124200244, -0.3011347828133666, -0.16403425915892145, -0.1335449367446933, -3.5607802867413056, -0.19188157149289364, -2.617350512462373, -0.5581667108510375, 1.0167687616599546, 1.2733868164979032, -0.1812514900258394, -2.7160153937617038, -0.3548808127597152, -0.9777982819680777, 1.7868179946650884, -0.9705467749118378, 1.1412626636855603, -0.9600723645373298, 1.2247693076220432, -2.9471030283855315, -0.2759496080317357, 0.4077021894409634, -2.4786373553340777, -1.4299852151861585, -1.1192344766748017, -2.1134557768078315, 0.5497722202725894, -2.9044464327136943, 1.0273351552245362, -1.5957267328309745, -1.1842954805019497, -0.5466207531675384, -1.1227633284120129, -0.010888440892091622, -1.255742054945593, -1.2539046284182023, -0.4932392915774764, 0.09662501929409201, -2.822670214273467, 0.8374068139034662, -0.3536437244106272, -1.1266314566152396, 0.7290138353007589, 0.7295939611443425, -2.7976721792644472, -1.1731978019191465, 0.060297048734319236, 1.512782618139747, -3.455568634582278, 1.1551190312386481, -0.8352383042644362, -0.5995916410098664, -1.0586569267442685, -0.21172015592605742, 2.419166153430785, 0.14283014656905668, 3.387445929170954, 1.3181683368453228, -0.2949356709635951, -0.13714718238123813, 0.040359768944271956, 0.6382715963760534, 2.620474192683277, -2.722055745178169, -0.23553350731294098, 1.977896938368131, 2.31784106008019, 0.7925760319972326, 2.3749018263806327, 0.6811162079447406, 0.7068395673998964, -1.1152406396087704, -3.144985139685565, 0.7961542320470877, -0.3200564430663764, 0.6183416751188047, -1.752767861466658, -1.1125414309695953, -3.384214558748419, 0.5321154605117786, 2.0560228328092753, -0.3152199869956679, -1.8046207801359913, -1.3225707229526698, 1.8307058024837484, -0.1409351838293732, -0.974911970724001, 2.437623156847561, 0.8272431324193624, 3.9963707242315984, 1.238541388319732, 2.876985314246448, 0.5645481377095204, -0.5310936979985457, -2.281389613070242, 0.173286768431275, -0.18815437026110587, 0.37268774837108853, 3.34570352867011, 3.8437735125107535, 1.6433839084900554, 3.576870072388312, 0.0777487898948867, 0.1458537073040255, -2.9918011449494077, 0.459754739501794, -0.5313586940397574, 1.056083708617959, 0.2408132368935897, 2.556459437018901, 0.7777189719784561, -0.9783926034143209, 0.42967174650897266, -5.663507513144452, -0.5214839681652542, 0.4979912526673178, -5.884781031234784, -3.133662028413843, -0.43367174454815116, 0.0911028672578112, 1.4215546773561483, 0.7287796328381068, -1.052722432095537, -0.9776039376305543, -2.1841525758378837, 1.5384415193207257, 0.3871121815582165, -2.949224036979764, -3.6449830220623296, -0.9575751084636359, 2.4976292213183577, 0.3134698827216045, -1.8258596752629817, 1.5847403331040306, 16, 8, 0, 0.0, 0.0, 0.0, 202.09019536539563, 71.02349627096409, 0.0, 0.0, 
LstmLinearModel, C:\PeterB\Projects\TrojAI\paper\baseline-trojan-detection-paper\round6_results\nisaba-run15\trainData_scratch_r6-nS250-nD100-reset\LstmLinearModel_log.csv, 5.281553305396943, -0.30088107465599156, -0.2782768319575557, -0.2788410350048226, -0.27782611216340447, -0.27778455652096495, -0.2779512253654435, -0.2791551297925352, -0.27959486002256284, -0.4398853653602771, -0.2799997993631821, -0.4380490304010497, -0.27926658979758223, -0.27826453692466135, -0.2794222570983674, -0.3435325790658472, -0.4363923726690293, -0.27860006090172745, -0.27860006090172745, -0.7274792924647611, -0.1570897992732312, -0.4363923726690293, -0.27860006090172745, -0.27860006090172745, -0.27860006090172745, -0.27860006090172745, -0.3783040396525398, -0.27860006090172745, -0.4363923726690293, -0.27860006090172745, -0.27860006090172745, -0.4363923726690293, -0.27860006090172745, -0.3431288535811171, -0.27860006090172745, 0.05200999004479484, -0.40218155934240457, -0.27860006090172745, -0.18567922000262943, -0.27860006090172745, -0.2692172555596238, -0.27860006090172745, -0.7274792924647611, -0.4363923726690293, -0.45074164732996225, -0.3944724265153039, -0.5521742940206048, 0.05200999004479484, -0.4271465840995628, -0.27860006090172745, -0.18567922000262943, -0.4271465840995628, -0.27860006090172745, -0.6597671281220344, -0.2055955812306391, -0.4363923726690293, 0.17722250495297986, -0.4363923726690293, -0.8852903978789932, -0.09047198963464642, -0.3783040396525398, -0.4363923726690293, -0.27860006090172745, -0.2692172555596238, -0.27860006090172745, -0.9930670441527055, -0.9389656940432693, 0.8374172646260064, -0.6444167997345318, -0.677251337666093, 1.4660570851537176, 1.9513236904610187, -0.9085172519546139, 1.8541756674101904, -0.9908271347719766, 0.9938562832471245, 0.12197463727881586, 0.10923949860181942, -0.1128609207426593, 0.18110995845080846, -0.3226259707891723, 0.2455438668853409, -0.25618052887095133, 2.9765527744976996, -0.4984683038441329, 1.0826606539638532, -1.692247751793083, -0.2503290049567969, 1.7945238687809462, -1.202048122681904, 0.6661560322646685, -1.525891345773323, 0.6936997705525962, -0.847481779945473, -2.906076560751762, -1.620995439242222, -2.3595748112195487, -4.1228152266021825, -0.9526345590132033, -3.712873168714689, -1.3275806733307287, 2.8774348851525944, 1.2531448248768455, 0.5012087053243391, -1.0625262099595496, 1.4764815094647448, -5.602882988373018, 0.6572923902172931, -0.19724283060889758, 0.1910892979619232, 1.6406126737212154, 3.822947211735485, -0.3885712836531441, -0.32974720826124093, -3.9747920356361846, 2.3787283932942613, -1.5449971212164217, 1.1956870146200371, -0.8959922918656895, -3.5536175374432672, -1.0006340046823772, -2.053220238762089, 4.170378324619307, 1.0548718155958579, 1.7164921368507966, 1.7187282019845003, 2.073729802655488, 4.7897407246346715, -0.2628528745855676, 3.848301958348639, -1.0664357799570092, -0.8408392121346879, -1.0167300933727303, -0.17124436958384276, 0.9864952985809365, 1.4606749428426964, 1.2248424863789098, 0.3002587830675454, 0.9651731333348025, 4.724020790010101, 0.22534709960590327, 1.2523744974570608, -1.2475817426788602, -0.23587499043071913, 2.346570988171049, -1.3194357432248585, -2.0946719874775517, 1.9546025351189862, -0.5289391312902956, -2.6904263826915753, -0.6495986969754551, 0.8223007807268096, 0.521370057766137, -0.6133202323625935, -0.7684741504621209, -1.1727098547565133, -0.35108514359932314, 5.7750855103489585, -1.8743135545338692, -2.0909530313787226, 2.8594869228098556, 0.36710221417870403, -1.0888312551478267, 1.0263483582415314, 0.28806563971389276, 1.2664747675587007, 0.22573962163389505, -0.6971967660222143, 0.08989531999947986, -0.4233437054642146, 0.01515699809729143, 1.8017020893482643, 1.7630368876002553, -1.1168843378462474, 0.34143935525004687, -0.4664686272537619, 0.7419393793644401, 0.893388290429044, -0.7790594919574025, -2.863829410286243, 2.1115277968614063, 1.1012568113564547, 5.705664228534278, 4.106434466221648, 1.6319189931652902, -3.098717150626184, 0.16164068965030154, -2.347808992214914, 5.307042008365199, -0.03301652980744302, -2.0430701738126613, -1.6895273477681712, -0.7655244483052104, -3.5265161906056135, 0.6700616367242656, 1.051043404810764, -1.4260700626433882, 0.6607007760583433, 1.184230703972853, -1.7885518509513512, -3.8313150003994068, 3.4610791100441056, -0.03064193060227377, -2.990804858932529, 2.920254389393968, -3.0008165909939177, -2.098030702671817, 4.538485755309314, 1.450503280847513, -1.0335186067944067, 1.9943876378125591, -0.32311501915067004, -0.8876977142742635, -1.7968951498985801, -1.4138776995703763, -0.4794742930348145, 2.0358176260626646, 2.005137410835649, 0.16355185206452028, -2.3585346897502353, -0.7365470145398914, 0.37110700768080496, 1.7074655755939503, -0.12324417345148797, -2.644858655672878, -2.4099709615367537, -3.6470706691673294, 0.44038276016655625, -2.8418949774441775, 2.167839568743452, 0.12742648063881667, 3.4188278323578727, -2.879697546888346, -1.2999074689342613, -0.5226775297021007, -1.6236465369406023, -0.6316908578586693, 0.3033046288261798, -0.9141368418971982, 4.14257979459121, -4.767136567541056, -3.8009052946238353, 5.4826700209325, -2.5858432615863043, -2.1433666836263745, 3.5718521627079123, 3.5925320633988815, 0.5296943231960287, 1.6813658559226672, 1.8222259083569137, 3.523927555107864, 16, 8, 0, 0.0, 0.0, 0.0, 219.22151792925433, 60.35579097387963, 0.0, 0.0, 
