Experiment ID (Run ID),Completed Succesfully ,Dataset,Number of Eval Images nD,AI Architecture,Number of Samples nS,Pruning Method,Ranking Method,Sampling Method,Pruning Probability,Number of AI Models,poisoned_model_count,number of erroneous predictions based on linear regression,LR of A: FN+FP/#models,LR of A: #FP/#Models,LR of A: #FN/#Models ,Average execution time per AI model [s],Stdev of execution time [s], avg_cross_entropy_loss, stdev_cross_entropy_loss ,b0, b1, b2, b3, b4, b5, b6, b7, b8, b9, b10, b11, b12, b13, b14, b15, b16, b17, b18, b19, b20, b21, b22, b23, b24, b25, b26, b27, b28, b29, b30, b31, b32, b33, b34, b35
9,Yes,R4,5809,densenet121,35,Remove,L1,targeted,0.02,64,36,9,14.06,6.25,7.81,150.0272691,6.945202284,0.3546,0.3353,1.432095184,1.113017992,-1.140757318,0.035837861,0.177448099,-0.27571431,-0.358148391,0.23908704,-0.192076593,0.379203066,-0.939079088,-0.461435379,-0.557619321,-0.323809236,0.587660328,-0.710967591,-0.619760939,0.5358714,0.841008003,-0.267762836,0.794258045,0.178453181,-1.15235044,0.600746506,0.225186563,0.297712012,0.40677866,0.298203325,1.388646664,-0.610725577,-1.959107869,-0.647721106,-0.408456513,0.354471962,0.542393592,0.220576034
7,Yes,R4,5600,inceptionv1(googlenet),25,Reset,L1,targeted,0.04,57,31,10,17.54,5.26,12.28,210.9630236,146.7818914,0.3711,0.3074,25.24249812,7.444245118,-29.06844824,11.36367046,-33.42755758,-48.9176958,10.42092407,-3.417508814,60.59994495,12.2367245,-4.992045488,-77.25426255,-82.74046486,1.618485701,-25.82729744,88.98397727,20.21242026,50.46276478,42.12794059,17.8414479,-25.82080048,-1.046246547,-11.43441782,-8.726334126,-0.776893415,5.379848912,,,,,,,,,,
7,Yes,R4,6968,inceptionv3,25,Reset,L1,targeted,0.04,70,40,10,14.29,7.14,7.14,164.5934328,107.0052828,0.3954,0.327,30.8216804,13.0956217,-10.4647322,10.10242885,-23.22375593,-9.178247756,-4.514290135,3.96860186,17.37954913,-10.55902502,7.969486038,0.14506716,-10.31828422,-9.014182752,-17.94132781,1.32105348,-3.688438407,3.562166772,0.497238755,-2.548925356,11.41436617,11.50758833,-3.898588343,-2.596095464,-3.129184256,-0.276185368,,,,,,,,,,
3,Yes,R4,10,mobilenetv2,35,Reset,L1,targeted,0.029,59,23,6,10.17,0,10.17,15.52216295,2.37184616,0.2601,0.2791,3.390530946,2.382022376,-14.50281657,5.540837312,0.612480301,-5.658411391,10.25905487,0.08539573,5.174603557,-7.81221327,-28.00252096,5.351954949,-4.229785135,6.405218667,-3.243599986,9.428490854,3.61316636,-0.869262437,3.693190383,-6.227495986,-3.360748905,4.997747306,3.978491397,-5.904843267,3.306714177,1.536416461,0.977826526,0.349988187,4.128461274,10.35605728,2.253955926,-2.574657818,-0.095898345,-1.1949528,-4.594597769,0.862516185
10,Yes,R4,2755,resnet101,35,Remove,L1,targeted,0.029,30,21,1,3.33,3.33,0,372.5911111,140.4818345,0.1004,0.3717,0.876670538,7.41581856,76.17911604,-45.85318099,47.17635967,-43.12149508,-13.47380231,20.97297154,49.6447034,5.4379373,45.79015969,-153.6174264,6.785835913,11.86516832,73.21600791,5.172309468,-323.1596573,34.36332358,-4.996819539,79.19907419,14.27820844,2.134195343,50.0464487,47.21484265,41.78565,-5.453941403,-26.97647147,-3.925770067,14.0588969,51.00835504,-5.612573484,49.4804052,4.76284418,-97.22201802,34.83732263,-49.44955413
10,Yes,R4,7809,resnet18,35,Remove,L1,targeted,0.029,77,42,14,18.18,15.58,2.6,99.63663191,51.22483874,0.4077,0.3577,7.78942203,3.474870237,-2.165307268,20.79621098,-8.482232278,10.64458598,-16.03281467,-35.29154048,40.82524948,-1.563506963,2.330714074,-29.43936205,-8.94958623,4.366438405,11.63261107,-6.774871608,17.71282134,2.092209469,8.226478968,-21.96112095,-0.837555207,-8.053237655,11.13594318,-2.95614425,5.775870015,-19.42967519,4.52713655,-2.580992248,5.46400167,-13.62736872,23.75363738,11.28715987,6.221068682,-9.740484355,-5.159095713,-4.467560469
9,Yes,R4,9209,resnet34,35,Remove,L1,targeted,0.029,87,40,16,18.39,10.34,8.05,27.3086251,1.348960768,0.3914,0.3251,0.43363823,-0.039054892,-0.568514641,-0.072699867,-0.329619404,-0.483011463,0.052042378,0.829454532,0.326981493,-0.585249841,-0.013322295,0.570079274,-0.070581938,0.103715217,0.039881836,0.013284335,0.999643591,0.033732298,0.420375958,0.446506837,-0.349903334,0.365723836,-0.216478553,-0.567927384,-0.189146983,-0.199462819,0.402188991,0.148231874,0.64901934,-0.41378479,-0.521015803,-0.99169475,-0.122036074,0.145364411,0.085412493,0.028039356
10,Yes,R4,5666,resnet50,35,Remove,L1,targeted,0.029,62,34,2,3.23,3.23,0,201.4797304,108.1541558,0.1644,0.214,0.449437405,0.407119997,1.412610086,-0.150457874,-1.493511766,0.34534057,1.723173951,-0.278197955,-0.305884829,-0.112156961,0.570262502,-0.538815,-0.922521381,0.195045515,-0.875068768,0.974860101,-1.656297698,-0.887757826,1.215640511,1.674871988,-0.731044073,-1.158521649,1.180018998,-1.036922552,1.729595561,0.293933584,-1.12253343,1.525215708,-0.641868411,-0.716392017,1.735152745,-0.06780715,-1.407406894,0.244312421,-0.253322556,-0.898932818
3,Yes,R4,10,shufflenet1_0,35,Reset,L1,targeted,0.029,55,29,5,9.09,3.64,5.45,14.23857425,1.748780694,0.2585,0.3292,7.701599669,-2.384775259,0.14153079,1.681487491,-3.955371401,2.035908258,1.673685683,0.020632535,-1.908733373,0.836742046,-1.758842593,-3.087664058,-2.781805518,-2.221842011,1.037424345,-3.15025129,-0.255123924,-3.668082764,5.693984654,1.247921635,-2.395371962,-3.266089794,5.537318766,1.78023926,-2.061946736,-0.136686219,-0.201237544,0.482925974,-0.567833473,-0.521718634,2.092335787,-0.642177219,-0.940466411,3.664673807,3.727165268,-3.104804902
8,Yes,R4,5825,shufflenet1_5,35,Reset,L1,targeted,0.029,65,34,6,9.23,3.08,6.15,85.0714702,47.57315606,0.2734,0.4668,34.31178958,2.751232085,7.57308028,3.562555946,-16.46427331,0.82375019,-9.285212667,-0.067797883,-5.007964985,1.326895531,-7.013815625,2.017924589,-8.350289577,14.25209542,-27.34373658,15.39592519,-2.918877331,0.263565493,-21.36585619,7.051304662,13.47504852,-0.298494806,6.631369836,-8.944225616,-7.500838197,-1.944082588,4.083616719,-6.139299704,7.449276079,7.915802797,-2.856546186,-0.661799173,-0.560106118,-2.422277973,0.599034147,0.034065468
